,sentence,intent
764,believe luigi fucking di,No Hate
765,entertain shit,No Hate
766,dumb ass,Hate
767,please bitch get popped end lump like dumb ass sist,Hate
768,please bitch get popped end lump like dumb ass sist,Hate
769,st pic oh god batman v superman trailer awesome nd pic oh god bvs awesome rd pic oh dont like bvs call shit movie well bitch th pic oh zack fired henry left ben leav,Hate
770,st pic oh god batman v superman trailer awesome nd pic oh god bvs awesome rd pic oh dont like bvs call shit movie well bitch th pic oh zack fired henry left ben leav,Hate
771,aaron rodgers never win ring rest sad ass career hope regular season heroics cause thats good nice day,Hate
772,fuck start working man steel sequel soon whole dceu irreversibly go shit,Hate
773,fuck start working man steel sequel soon whole dceu irreversibly go shit,Hate
774,dick durbin figures lies often enough people start believe right leftist dictatorship playbook,No Hate
775,well osuna ass really sure went claiming punch women sir asshole completely wrong tweet nothing osuna clear fact tha,Hate
776,well osuna ass really sure went claiming punch women sir asshole completely wrong tweet nothing osuna clear fact tha,Hate
777,good example ban ar someone could used gun control pussi,Hate
778,tbh could stop spreading rumors false news hurt enough dont need shit,No Hate
779,shit hurt,No Hate
780,oh fuck,No Hate
781,fucking league football hahahah url,No Hate
782,tell story car rain yes whore life fuck people money except,Hate
783,tell story car rain yes whore life fuck people money except,No Hate
784,got ass lmao,No Hate
785,go people love david gilmour think roger waters bit dick obvi,Hate
786,fucking hilari,No Hate
787,fucking pu little chinless donni,Hate
788,ummm theres video coach literally admitted lmao maybe read strong shitty opinion,Hate
789,guy kerry one nothing damn politician get going sea trying undermined president traitor sure better watch b,Hate
790,fucking fast holy shit lol,No Hate
791,fucking fast holy shit lol,No Hate
792,good shit kaepernick great model young kids play football stand believ,No Hate
793,holy shit better drinking milk eating els,No Hate
794,dead mass shooting fifth third bank building downtown cincinnati deep state fake news crisis actor alert gun control bullshit f feinstein obama url via,No Hate
795,bullshit daughters watched tennis match sarrena got deserved big williams fans one gam,Hate
796,know look outside box like rush limbaugh lost shit remind head funni,No Hate
797,nigga tweeting shower hope siri drown,No Hate
798,fuck rick,No Hate
799,u fuck alreadi,Hate
800,santa clarita netflix funny fuck,No Hate
801,course interested domestic abuse still domestic abuse hope use fake rumor shit habs actually care domestic abus,Hate
802,american terrorists need strict punishment lawless thugs stop powdering antifa ass,No Hate
803,umm fuck yeah would,No Hate
804,yes thats need bring gun control even better shoot foot real well im going harass school shooting survivor ass,No Hate
805,fuck alan sorri,No Hate
806,bullshit live nh daughter goes school cali considered non resident clearly move fraud citizens nh,Hate
807,timely responses rap beef lmaoooooo nas took three months respond jay bodied em always takes month get timely response shit,No Hate
808,fuck,No Hate
809,henny outside u ya pussy ass sister wanna talk,Hate
810,henny outside u ya pussy ass sister wanna talk,Hate
811,fuck puting raven derrick dan dr saying mastermind shit put bitch sick annoying boring take raven put tyler playing great game even,No Hate
812,fuck puting raven derrick dan dr saying mastermind shit put bitch sick annoying boring take raven put tyler playing great game even,Hate
813,fuck puting raven derrick dan dr saying mastermind shit put bitch sick annoying boring take raven put tyler playing great game even,Hate
814,well really really smart nothing woodward wrote book true good lord shit see hear everyday day really need op ed book,No Hate
815,spend final days hell sink,Hate
816,trump posts shit like know distracting something else go,No Hate
817,nonono people fat shame give slightest shit someone health know anyone health looking big doctor know many super healthy fat people horrifica,No Hate
818,fuck yeah,No Hate
819,hate man thinks irrelevant opinion matters ass bitch url,Hate
820,hate man thinks irrelevant opinion matters ass bitch url,Hate
821,fuck,No Hate
822,bitch please commie dems ones riding hell bent leather destroy democracy republ,Hate
823,bitch please commie dems ones riding hell bent leather destroy democracy republ,Hate
824,om ah bitch lol love domo,No Hate
825,honestly know stupid actually surprising dumb easily persuaded people country say shit like every white redneck screaming yeah maga baby url,No Hate
826,im horibble shitty that,No Hate
827,hey bitch daily reminder lov,No Hate
828,fuck,No Hate
829,yo ass probably playing super easy smh go hom,No Hate
830,agree want see real damsel distress play fucking marry jane missions soooo boring stupid url,No Hate
831,monte fuckin knows point,No Hate
832,gotta give credit due may mason competing ass,No Hate
833,shit like real research gets done us,No Hate
834,beat ass letting get hit,No Hate
835,cute fuck,No Hate
836,chances got mario cart penis confused one thousand since remember specific slice pizza years ago looks like dems like ancient memory based accus,No Hate
837,dog whistles minute one sobs use never would vote liberal ever thing moderate acceptable liberal mean try hide hate scum fool thin,No Hate
838,holy shit get lawyer false advertisement colon football player vag head,No Hate
839,holy shit get lawyer false advertisement colon football player vag head,Hate
840,hunnid stax shit,No Hate
841,cite jones banned violating twitter tos blue checkmarks spewing worse kind shit going play anyone get banned card people also receive bans suspens,No Hate
842,even gay yr old call youthful indescretion amp get amp maga sshats url,No Hate
843,thing antifa warrior coward bitches marcus smart tougher far,Hate
844,canadian live us ex special forces handled everything bb gun mm howitzer tow missles anti tank weapons us lack gun control far fucking stupidest part,Hate
845,fucked bama twice since got almost tru fan,No Hate
846,bitch wanna know,Hate
847,testament fucked world free spout bullshit jail even investigated statutory rap,No Hate
848,testament fucked world free spout bullshit jail even investigated statutory rap,Hate
849,really side mess day people siding cardi talking bout nicki shit jsjdhkdfhjfkfkhsjdhd messsssss,No Hate
850,gone eat high yellow ass,No Hate
851,full shit sweeti,Hate
852,megumi im sorry asked see tit,Hate
853,pussy ass different times never black life ever ate chittlerings lol,No Hate
854,pussy ass different times never black life ever ate chittlerings lol,No Hate
855,isnt nra propaganda pushing corporate lobby group cares profits profits idea rest crackpots guy looks like ar stuck ass,No Hate
856,fuck steelers bah mama racist shyt wanna pay dude call selfish wanted report,Hate
857,red flags professor liberal school unable healthy relationships men translation antifa dyke stop conservative judge president trump even li,Hate
858,one tough easy hold grudge fucking hard let go,No Hate
859,vile creature trying portray fierce bitch time knows gun control conversation paper tig,Hate
860,woman town honked asshole driver cut followed home beat crowbar,Hate
861,one worth slapping cock cumming cumslav,Hate
862,swear glad fat ass never drunk shit tryna slim crackhead slim,No Hate
863,swear glad fat ass never drunk shit tryna slim crackhead slim,No Hate
864,fucking matter found dead sea scrolls colonel secret recipe man dead due ignorant negligence someone els,No Hate
865,bitch took four years jdkdkdd,No Hate
866,kind classes taking ass homework anatomy class,No Hate
867,kerry full shit undermining things knows iran debacle baby wants keep matter cost,Hate
868,bitches lol,No Hate
869,antifa needs good ole boy ass b,No Hate
870,shit od,No Hate
871,got asses even believing truth truth lmao amp know water damn wet cant even believe coming lying ass mouth,No Hate
872,got asses even believing truth truth lmao amp know water damn wet cant even believe coming lying ass mouth,No Hate
873,got asses even believing truth truth lmao amp know water damn wet cant even believe coming lying ass mouth,Hate
874,tea mad saw shit,Hate
875,store dude walked wit maga shirt smh dog mean muggin fuck outta dude much left broad stor,No Hate
876,wtf one say hope trumps doc rots nobody noticed oh yah tagged better tone dick falling happen soon enough,No Hate
877,fuck care friend real friend losing anyone special cuz even real friend sad,No Hate
878,bitch saw whole ass tweet wednesday bitches always talking shit back pedaling lmao admit,Hate
879,bitch saw whole ass tweet wednesday bitches always talking shit back pedaling lmao admit,Hate
880,bitch saw whole ass tweet wednesday bitches always talking shit back pedaling lmao admit,Hate
881,bitch saw whole ass tweet wednesday bitches always talking shit back pedaling lmao admit,Hate
882,shit different frfr,Hate
883,action talks bullshit walk,Hate
884,haaaaaa cause never happened ye gonna tweet shit make sure fact kid,Hate
885,wondering shit east coast causing god send florence punish good guess would neo faux christian followers trump,No Hate
886,damn hope find bitch bought yesterday lmaoooo,No Hate
887,damn hope find bitch bought yesterday lmaoooo,No Hate
888,exactly ass gets lmaoo,No Hate
889,fuck,No Hate
890,shit,No Hate
891,god damn fucking valid,No Hate
892,god damn fucking valid,No Hate
893,nigga keep tryna play sides lol,No Hate
894,happy stbirthday savage songs broken world time lst yr dropped door damn shit little know ride going take us fans thank masterpiec,No Hate
895,happy stbirthday savage songs broken world time lst yr dropped door damn shit little know ride going take us fans thank masterpiec,No Hate
896,smh nigga dat shit gone take us far u tweak,No Hate
897,smh nigga dat shit gone take us far u tweak,No Hate
898,trump fucking asshole think otherwise idiot friends pr hurt one needs get educated educate everyday talk everyday stfu,Hate
899,trump fucking asshole think otherwise idiot friends pr hurt one needs get educated educate everyday talk everyday stfu,Hate
900,poor comparison jay z literally said fucked nas baby mom left condom daughters baby seat cardi nicki fight,No Hate
901,omg fuck lives si,No Hate
902,considered hate speech liberals republican said democrats msm would raising kinds hell hypocrisy expect,No Hate
903,thanks vince fucker need hold chance clients miss,Hate
904,support better question hell would believe someone liberals lying shit california professor recently attacked man lock sock many women faked attacks sense el,Hate
905,support better question hell would believe someone liberals lying shit california professor recently attacked man lock sock many women faked attacks sense el,No Hate
906,shit lmaaaaoooo making sur,No Hate
907,album boring way ass took forever make even close djsjsjjs could,Hate
908,tf white devil jersey shore bitch,Hate
909,bitch,Hate
910,oh shit,No Hate
911,poor old rudy full shit christmas goos,Hate
912,grab em pussy problem,Hate
913,fucking close getting another overturn suck rug pulled underneath feet fuckoff url,No Hate
914,fucking close getting another overturn suck rug pulled underneath feet fuckoff url,Hate
915,fuck bad leslie def added tho lmao im give ypu,No Hate
916,lmaooo fucking love see hotties soon xox,No Hate
917,right wanna know phone calling police anyway fuckin run rhonda lol,No Hate
918,met looked said charge bitch even though knew domme capacity tried control situation take shut get hel,Hate
919,met looked said charge bitch even though knew domme capacity tried control situation take shut get hel,No Hate
920,yes bitch,Hate
921,sexy fuck babygirl,No Hate
922,guy legit case trump fuck sexual orientation laws yet dude needs take court say someone describes one sue peopl,No Hate
923,say amp facial expressions everything see video fucking url,No Hate
924,endorses felons ah yes felons likely shit reminds bernie said chicago different vermont regards gun control need,No Hate
925,lady grade idiot complete total liar called bullshit anyone half brain knows spewing crap,Hate
926,asshole sad,Hate
927,bitch better serv,Hate
928,stop saying shit going shrio fight depression let take half life hiding emotions everyone thought happy deep wanted end let d,No Hate
929,worked fired comments view inconsistent damn plac,No Hate
930,fascist pig go report shitty twitter remov,Hate
931,ur saying fact chicken shit eating chicken shit url,No Hate
932,ur saying fact chicken shit eating chicken shit url,No Hate
933,lmao world league viewership compared league legends overwatch cs go main issues format shit game console need fix one console could turned advantage uf u c,No Hate
934,lol every gf ein track whole ass album pahh,No Hate
935,fuck dare choose granth haha sure looking publicity bible kuran whatever intention done drama may want start busi,Hate
936,useless tit hog say,Hate
937,still better spanish fucking boring teacher grades us based sexually act,Hate
938,judge guy need come say lovers since high school would really fuck liber,No Hate
939,except comes tyrone woodley lol ate words eh dan mins great till woodley great happened bud fucking expert stfu dan hardi,No Hate
940,sad fucking angry angry gop embracing fascism grandfather antifa following footsteps friends die vain nothing url,No Hate
941,omg fuckin kind beauty tt,No Hate
942,patrick ass,Hate
943,hi would come england time life want disappointed give orgasim like nothing gotten probably past life make piss many times lik,No Hate
944,fuck wrong,Hate
945,xd well suffering goes terrible shit sees ends making pretty insane think already seen certain things posted xd hey least insane bad guy,Hate
946,fully cant remember hes always gettimg shit like never stops causing government based chaos wish would calm,No Hate
947,crazy dick durbin using confirmation hearings try push gun control using hearing make speeches push agenda whole thing circus democrats pushing agenda vowing vote confirm,No Hate
948,typical sore loser always piece shit,Hate
949,never seen anyone talk like twitter seen really messed shit,No Hate
950,clearly bc cheerleader smaller girl whooped ass slammed ground everyth,Hate
951,smart ass way,No Hate
952,crazy thing people naming big pac greats forgetting true underground rap legends like l still play shit,No Hate
953,shit staged dude even hit url,Hate
954,know laugh really believe media picking getting shit together shit would,No Hate
955,know laugh really believe media picking getting shit together shit would,No Hate
956,piece garbage believe hatred bitches view trump abc let spew garbage daily basis disgusting boycott view boycott abc amp damn proud,Hate
957,piece garbage believe hatred bitches view trump abc let spew garbage daily basis disgusting boycott view boycott abc amp damn proud,No Hate
958,shithous,Hate
959,live big dick part cause gay,No Hate
960,live big dick part cause gay,Hate
961,spelled big dick wrong,No Hate
962,start shooting blue thugs going shit saying thats died cuz fucking infuriating wtf matter pot home home guilty on,No Hate
963,start shooting blue thugs going shit saying thats died cuz fucking infuriating wtf matter pot home home guilty on,No Hate
964,dick durbin gonna happen blame shitcago,No Hate
965,ib ass watch speak nam,No Hate
966,lmao shitty quality mind either lowlands one sounds bett,No Hate
967,cause sweet lil nigga,No Hate
968,liberals accusing falsely kathua case hiding shithole right,Hate
969,convinced hell lot liberals type conservative could real conversation vice versa either would admit whack job commies scare shit everybody tim,No Hate
970,convinced hell lot liberals type conservative could real conversation vice versa either would admit whack job commies scare shit everybody tim,No Hate
971,bl,Hate
972,look ass keep mov,No Hate
973,bt ass malfunct,No Hate
974,deception dirty tricks happened refused protocol stole scotus seat obama conservatives love fight dirty cry foul others call play hardball right back bunch puss,Hate
975,know fired thinking u got hammer n pants u walk n find u got coochie lol,No Hate
976,hope entire police department gets shut fuck obviously feel like law obviously incapable holding accountable breaking law obviously undermine everything police offic,No Hate
977,believe peace shit deserve star god bless usa god bless president trump,Hate
978,dyrus fucking worthless braindead scumfuck bastard pile trash mental dickface gunned street like degener,Hate
979,dyrus fucking worthless braindead scumfuck bastard pile trash mental dickface gunned street like degener,Hate
980,dyrus fucking worthless braindead scumfuck bastard pile trash mental dickface gunned street like degener,Hate
981,tom marvollo riddle evan lose dick fucks around knows cause already lady nods looked evan evan grins stayed silent liked fuck around knew could hurt dat,No Hate
982,tom marvollo riddle evan lose dick fucks around knows cause already lady nods looked evan evan grins stayed silent liked fuck around knew could hurt dat,No Hate
983,tom marvollo riddle evan lose dick fucks around knows cause already lady nods looked evan evan grins stayed silent liked fuck around knew could hurt dat,No Hate
984,please whatever smoking thats top quality shit com,No Hate
985,neither side klan antifa stay family squabbles dems clean bastard children perhaps could clarify support th,Hate
986,ya finest moment hun try fix ya shit knock tweet away,No Hate
987,funny idiot liberals seem forget presidents shit haha,No Hate
988,pussy good enough get brok,Hate
989,fuck,No Hate
990,fuck yeah,No Hate
991,one anything russian collusion btw crime b knew dt ones copped save ass curious none u self righteous ppl problem w hrc amp bo cr,No Hate
992,lost mind shit unsanitary af url,No Hate
993,shit got dead eager ass boi,Hate
994,shit got dead eager ass boi,Hate
995,ever met woman guarantee would want slap shit total disgrace dumber box rock,Hate
996,still read analog clock like takes like fucking minute process glance one like digital click,No Hate
997,shit getting hand,No Hate
998,even reason last thing mac would want would everyone harassing shit already grieving cmon dud,No Hate
999,nobody voices opinions country louder conservatives idk fuck,No Hate
1000,love u beautiful bitch rawr,No Hate
1001,mon bye bitches suffisait,No Hate
1002,oh fucking god,No Hate
1003,city people fuck quite r,No Hate
1004,answer shut fuck join antifa loudmouth punk,No Hate
1005,anymore excuse fuck mem,No Hate
1006,least got experience though born missed great decade increasingly worse shit show since lol,No Hate
1007,fuckin poisonous group people soon someone hands hat propeller top find another company work lem,Hate
1008,lets stretch bitch,No Hate
1009,fuck detect attitude text bubbl,No Hate
1010,shit,No Hate
1011,fuck killing l,No Hate
1012,problem people read go oh shit cunt already think rednecks retards already support believe fake new,No Hate
1013,problem people read go oh shit cunt already think rednecks retards already support believe fake new,Hate
1014,hope full pot holes smells like shit,Hate
1015,sex games make feel like actully sex ign would describe really makes feel like fucking whore alleyway,No Hate
1016,sex games make feel like actully sex ign would describe really makes feel like fucking whore alleyway,No Hate
1017,vote god sake move non issue months allow libtards veer trap harden fuck let go seri,No Hate
1018,son please make cry today never saw shit,No Hate
1019,sick fuck like quick fuck,No Hate
1020,sick fuck like quick fuck,No Hate
1021,dick damn know bhadbhabie actually bhadtranni,Hate
1022,dick damn know bhadbhabie actually bhadtranni,No Hate
1023,things definitely fucked need state obvious like conservatives needed like liberals needed one without faulti,No Hate
1024,first law sensible fucking gun control,No Hate
1025,love liberals say word debunked kind like hillary said said anger forosity knew meant bullshit,Hate
1026,look stop shit url,Hate
1027,getting pussy huh url,No Hate
1028,fucking drugs dud,Hate
1029,love u bitch,No Hate
1030,fuck bfa im going back rift,Hate
1031,unfirtunately seen hispanics justifying shit trump argued two family members mine believes trump helped pr lot relative trump fan amp agreeds majority immigrants co,Hate
1032,shocking almost liberals crazy insane since clinton witch lost become bunch damn stop acting like children grow,Hate
1033,well see start talking dana sensible gun control laws ignores calls tragedy dry humping whore conversation talking void,Hate
1034,almost every one talked work today said fuck canelo new mayweath,No Hate
1035,dirty cum dumpst,Hate
1036,one gives shit one miss sorry url,Hate
1037,safe fuck,Hate
1038,actually nvm dc animated films shit,Hate
1039,holy shit sick,No Hate
1040,complaining shit tournament long think people usa care roger federer favorite food watching americans play turnoff turn channel,No Hate
1041,gave fucking heart palpitations shaking typ,No Hate
1042,bull shit stop putting words people mouth,Hate
1043,still want fuck pussy rake url,No Hate
1044,still want fuck pussy rake url,No Hate
1045,ass hot seat wga,No Hate
1046,fuck,Hate
1047,spewing shit bernie robot lie say amp anything going district da n thing socialism work way suck,Hate
1048,rest pussi,Hate
1049,fuck nfl,No Hate
1050,bitch hood serving junkies maybach,No Hate
1051,picked fire og today really good ugly fuck almost passed smoked j fu,Hate
1052,picked fire og today really good ugly fuck almost passed smoked j fuckin,No Hate
1053,fuck,No Hate
1054,want win finally good pc shit post full body vrc,No Hate
1055,fuck terrorists ass,Hate
1056,fuck terrorists ass,Hate
1057,fuck yeah,No Hate
1058,fuck elect,No Hate
1059,bullshit crappy pop star philly instead fresh prince amp dj jazzy jeff america needs take kne,Hate
1060,hes comin ur woolly bitch,Hate
1061,eat ass oh god better li,Hate
1062,better idea mr guterriz whatever name resign amp go hell back wherever hell people came sake countri,Hate
1063,better idea mr guterriz whatever name resign amp go hell back wherever hell people came sake countri,Hate
1064,freaking ass,No Hate
1065,like dating months finally understand cringe word cock lol,No Hate
1066,please get first take yell wayy much seem like asshole set litterly hear anything screaming obvious dont like like dude stfu,Hate
1067,gt tfw lesbian,No Hate
1068,sick ass people url,Hate
1069,watch catching plane hungary beat ass,No Hate
1070,ciara stopped much dumb ass shit god bless woman,No Hate
1071,ciara stopped much dumb ass shit god bless woman,No Hate
1072,good lord woman dipshit,Hate
1073,pants drooping ass,No Hate
1074,ha ha yes fuck y,No Hate
1075,bitches psycho,Hate
1076,lol fuck,Hate
1077,fat ass heart attack city keep eating fat ass,Hate
1078,fat ass heart attack city keep eating fat ass,Hate
1079,beat ass,No Hate
1080,pr shit hole run corrupt liberals destroyed take years years years rebuild,Hate
1081,says white white people notice many shitty white people one se,Hate
1082,deep disgrace abuse rights existence relativity even generation mine knows rae low life opportunist government people suck liberal dick alt left nazi,Hate
1083,total psyop point anger liberals keep divided dont leave sorry ass parti,Hate
1084,word cause music slaps reason selling big ass shows idk deserv,No Hate
1085,russia ivan terrible fsu willie terrible fsu bitch rod michigan tango charlie texas pay piece shit million put points first two fbs opponents even western,Hate
1086,russia ivan terrible fsu willie terrible fsu bitch rod michigan tango charlie texas pay piece shit million put points first two fbs opponents even western,Hate
1087,republicans sign plan fuck trump considering failure legitimate platform better republican sure tragedy altern,Hate
1088,hol tl see tht big dick energi,No Hate
1089,piece shit,Hate
1090,twitter becoming tumblr fucking terrifi,No Hate
1091,either lookin shit somebody else creep,No Hate
1092,jesus evilest cunt,Hate
1093,gun control failed reduce homicides homicide rate dropped gun laws however rose enjoy bending knee people really give shit though,No Hate
1094,well half right shit,Hate
1095,hell offered last year go,No Hate
1096,every one social media platforms arguing racist powers manipulate push agendas gain power shit know exactly ur saying im pretty liberal guy stand,No Hate
1097,still even really trying shit em wanna know everyone saying murdered mgk song terrible absolutely get preferring em gonna go successful artist,No Hate
1098,fucking rud,No Hate
1099,eyes fucking louder word,No Hate
1100,yal stupid people tell back cause like obsessed bitch football games walks class literally everything knows exact dates numbers everything reasons competition cause gay,No Hate
1101,yal stupid people tell back cause like obsessed bitch football games walks class literally everything knows exact dates numbers everything reasons competition cause gay,No Hate
1102,zarries start conversation larry shipper trash talked ship petty ass larries stay mention eh,No Hate
1103,amount shit fuck,Hate
1104,amount shit fuck,Hate
1105,real shit url,No Hate
1106,like justin want conservatives plan even consider climate change using blatant misinformation lead people like believing trudeau fault negotiating f,Hate
1107,piss brewery hat,No Hate
1108,care right left go back tv bitch one tv star office good,Hate
1109,also ugly hell something anybody wants look lol,No Hate
1110,bruh times dropped kicked back wit feet caught aint g ass shit,No Hate
1111,even parody antifa page deal shit,No Hate
1112,hell think little eddi,Hate
1113,u dickhead,No Hate
1114,funny dildo,Hate
1115,hell liberals move california build wall east bord,Hate
1116,kg already shite allowance coz eu workers lame fuck proper piss tak,No Hate
1117,kg already shite allowance coz eu workers lame fuck proper piss tak,Hate
1118,hell would left already hates enough black conservatives liked country comment fight,No Hate
1119,know whole lotta people spitting whole lot bullshit right idk youll ever see pray feel way responsible happened today already damn much know good,Hate
1120,know whole lotta people spitting whole lot bullshit right idk youll ever see pray feel way responsible happened today already damn much know good,No Hate
1121,furries suck dick offer insult,Hate
1122,frothing far goodest shit,No Hate
1123,swear god shit real man,No Hate
1124,hmm something like getting really high quality artists draw really boring cars like fucking grand prix someth,No Hate
1125,boop police department freeze oh shit cute open boopboopboop url,No Hate
1126,hplyk fuck,No Hate
1127,holy shit lov,No Hate
1128,get shit togeth,No Hate
1129,people take pride living place survival moment moment struggle everything shit feel tougher stronger people successful pleasant educated clean areas plagued violence deat,No Hate
1130,k nvm fuck battlefield url,No Hate
1131,hell leftys talking say anything stop maga url,Hate
1132,exactly sound like complete dog shit meaning tell url,Hate
1133,nigga everywhere escape spews tim,No Hate
1134,hear jobless claims lowest since four years born dow record territory many times since got pile shit room ponies right,No Hate
1135,liberal pissed anyone would give disgusting pos award equality f u including liberals bullshit decision hrc,No Hate
1136,liberal pissed anyone would give disgusting pos award equality f u including liberals bullshit decision hrc,Hate
1137,physically threatening boys us completely slandering name wasnt im honestly saying shit ya course like ya said fucked least owned apologized b,No Hate
1138,physically threatening boys us completely slandering name wasnt im honestly saying shit ya course like ya said fucked least owned apologized b,No Hate
1139,asshole lies republican,Hate
1140,hope whoever gets seated kick cry want someone get seated liberals worst nightmare everyone look back say really fucked confirming act like protesting kavana,No Hate
1141,proud shit fire matter weather matter house temperature high low everyone pussy get water min cuz get used temp,No Hate
1142,proud shit fire matter weather matter house temperature high low everyone pussy get water min cuz get used temp,Hate
1143,watch music video jackets hrgggg love hank dumb ass,No Hate
1144,serious fbi investigation woman motives behind political hit job kind shit never done anyone conservatives bullshit,Hate
1145,serious fbi investigation woman motives behind political hit job kind shit never done anyone conservatives bullshit,Hate
1146,hell talking threats coming gun control nuts made kid,Hate
1147,comey pissed us constitution rat needs go away face consequ,No Hate
1148,go hell queen day believe less less every bit bullsh pull nothing lying demonrat,Hate
1149,critique bernie objectively horrible record gun control met rural state nra give fuck record horr,No Hate
1150,critique bernie objectively horrible record gun control met rural state nra give fuck record horrible stupid,Hate
1151,thanks bad bitch believe url,No Hate
1152,asshole much nerve unr,Hate
1153,hair asking pussy getting bald thinking trying new comb hide worst url,No Hate
1154,get shit poppin,No Hate
1155,mcenroe fucking legend hurled abuse everyone appears commercials yelling people movies yelling people icon think fair,No Hate
1156,ass,No Hate
1157,need leave lot shit past lol tweet literally mad,No Hate
1158,like hell hurt job randy orton ear,No Hate
1159,fucking idiot,Hate
1160,like real life cartoon character love respect shit keep,No Hate
1161,gonna boo ass regardless,Hate
1162,girl bitches aggrav,Hate
1163,lived era conservatives literally tried argue gay rights would cause collapse western civilization exaggeration used fall rome example somehow want pretend,No Hate
1164,shit right,No Hate
1165,damn ug,Hate
1166,know apartment fucking problem,No Hate
1167,lord pies kept cock holster shut nobody gives toss hollyweirdo say,Hate
1168,fucked night,No Hate
1169,saying official suppose go back recall every violation let go rule silly ass argument line called like saying billy martin get thrown ca,No Hate
1170,shit feel real life whack like set begin idk,No Hate
1171,cunt st eu url,Hate
1172,screw keep shit honest,No Hate
1173,u cold bitch,Hate
1174,hope shit become trend keep beef wax homie least call yell hot like n amp cam url,No Hate
1175,get shit transported africa niggas told seen venomous snakes iguanas beetle size car tire lmaoooo kinds shit,No Hate
1176,get shit transported africa niggas told seen venomous snakes iguanas beetle size car tire lmaoooo kinds shit,No Hate
1177,way accurate theories history ancient egypt ect made bs fabricated us claim know start looking history ect fucking proof anything enjoy,No Hate
1178,krazee right wingers nerve bitch antifa,No Hate
1179,hell yeah fuckig,No Hate
1180,risking ass lol,No Hate
1181,breatge kpop stan u nigg,Hate
1182,missus horse fuck right us chasing like bell end,No Hate
1183,slap shit outta,Hate
1184,wow look permanently suspends placing next fucking headlin,No Hate
1185,found today jesus white go church sunday watch football damn obama liber,No Hate
1186,liberals give rats ass power period cry everything go way,No Hate
1187,kirinodere curious case fucked customs fees good book,No Hate
1188,cackle something different shit every time watch lol,No Hate
1189,realest tealest shit ever eric da gawd,No Hate
1190,hate democrats fight like h everyday r making much lobbyist give damn want ready party get trump elected keep democrats till url,No Hate
1191,fuck russ,Hate
1192,fuck cover american politics canadian politics fucking disgrace report news news stuff makes conservatives look bad ignore stuff makes liberals look bad,No Hate
1193,fuck cover american politics canadian politics fucking disgrace report news news stuff makes conservatives look bad ignore stuff makes liberals look bad,Hate
1194,let nigga fish peace damn,No Hate
1195,let nigga fish peace damn,No Hate
1196,holy shit met michael jordan,No Hate
1197,yeah way ruin fucking hype werent invited dennys finished andreas lol,No Hate
1198,fucking ya mom url,Hate
1199,thats silly cartoons made popular fuck,No Hate
1200,zero evidence lmaooooooo love seeing liberals squirm shit lik,No Hate
1201,democrats cut funding cia goes around done conservatives play rules get fucked every time url,No Hate
1202,rosier played like straight fucking garbage mean tolerable undefeated run last year ever since pitt shown much scrub richt scared death start perri,Hate
1203,give damn allegedly committing physical violence ex girlfriend rush discredit kavanaugh year old vague th hour accus,No Hate
1204,good thats fine gun control double tap ass,No Hate
1205,fuck disgusting animals editor approved news bag shit,Hate
1206,fuck disgusting animals editor approved news bag shit,Hate
1207,holy shit thank much mine craft tv anymore ended wrong,No Hate
1208,tolerate ur loud ass maga merch dont say shit nike anything kiss ass,No Hate
1209,tolerate ur loud ass maga merch dont say shit nike anything kiss ass,No Hate
1210,tolerate ur loud ass maga merch dont say shit nike anything kiss ass,Hate
1211,eye see kay oh ass,No Hate
1212,love yo cute ass,No Hate
1213,everything shit really sad smh,No Hate
1214,every time hate horrifying feeling happens im dozing jolt wide fuck awak,No Hate
1215,hey bono turn dublin hotel refugees asshol,Hate
1216,bat nigga,No Hate
1217,kid legal immigrants attest correct follow law letter cases worked damn hard get legally anything risk status illegals con,No Hate
1218,complaining sp comments blames media spath feeling certain way actually reading article basically saying shea know shit basically shut mouth,Hate
1219,fuck hard,No Hate
1220,josh fucking loli robot,No Hate
1221,joe swear seems like shit intentionally show us fans put us hospital heart attack,No Hate
1222,gonna call bullshit on,Hate
1223,fuck em complete moron,Hate
1224,click fuck,Hate
1225,end war drugs slash shit taxes across board repeal unconstitutional gun control laws url,No Hate
1226,saw dems kavanaugh hearings bring common sense gun control time time chicago guy chicago toughest gun laws country yet gun violence capital usa dick,No Hate
1227,pretty awesome movement imagine men rights wanktavists fucked woods spared everyone bullshit fewer abusuve relationships messed kids sooner men like go,No Hate
1228,pretty awesome movement imagine men rights wanktavists fucked woods spared everyone bullshit fewer abusuve relationships messed kids sooner men like go,Hate
1229,pretty awesome movement imagine men rights wanktavists fucked woods spared everyone bullshit fewer abusuve relationships messed kids sooner men like go wa,No Hate
1230,chloe shut fuck seriously get fucking life leave us alone idk many time fucking tell bc clearly fucking get,Hate
1231,chloe shut fuck seriously get fucking life leave us alone idk many time fucking tell bc clearly fucking get,Hate
1232,chloe shut fuck seriously get fucking life leave us alone idk many time fucking tell bc clearly fucking get,No Hate
1233,chloe shut fuck seriously get fucking life leave us alone idk many time fucking tell bc clearly fucking get,No Hate
1234,paranoid one person think fucking yale kind antifa hq,No Hate
1235,shit last night,No Hate
1236,unicorns antifa rainbows socialists puffy hearts feminazis sunshine pussy hats resist,No Hate
1237,love one bitch url,No Hate
1238,hate year old faggot logan fans lik,Hate
1239,bronbron cool ok eat ass,No Hate
