,sentence,intent
1556,today long practice bitch,Offensive
1557,food gt pussy pussy food food pussi,Offensive
1558,swear see snow tomorrow bruhh sound like basic white bitch,Offensive
1559,typical hoe costumes cat nurse bunny police offic,Offensive
1560,uh excuse bitch need shout,Offensive
1561,red neck ice bucket challenge must sip,Neither
1562,hawtyyy smoking skating twerking innat hoe ya,Offensive
1563,hate shit like bitches think cute clothing viol,Offensive
1564,miss pussi,Offensive
1565,smoke like backwoods day cop dem bitches da box wo,Offensive
1566,adam jones homers yankees lead guy monsta,Neither
1567,already going look side hoes daddy walk room,Offensive
1568,u r gey af boy glad close dumb bitch guys say lov,Offensive
1569,stand playin ass nigga bitch,Offensive
1570,times making weed brownies tonight goin slide batch relo,Neither
1571,hoes love lol,Offensive
1572,lover old bitch,Offensive
1573,shavonne ballet middle street last night fell bitch ballet,Offensive
1574,want pussy dinn,Offensive
1575,nudes trash gotta draw clothes back send em back,Offensive
1576,hoes like omg love new comb thought perro,Offensive
1577,knee ass crow ass,Offensive
1578,slut hoe thot whor,Offensive
1579,feel like twerking yo pussy stank,Offensive
1580,kanye might first nigga successfully save hoe lol original tweet,Offensive
1581,miami keeper hard find hoes like brain wrestl,Offensive
1582,quote weezy verse diamond rough like baby trash,Neither
1583,quote weezy verse like bitch ass aint got shit,Offensive
1584,ugly af stick one  cannon new avi trash nah,Offensive
1585,goofy  goofy niggas simp chicks community pussi,Offensive
1586,always tryna degrade girls amp shit really pussy amp ass almost yall think shuuutt iittt sometim,Offensive
1587,f k never wearing headband either hoop like lil bitch tho,Offensive
1588,hoe,Offensive
1589,single shit boring suck bitch,Offensive
1590,trenton gossman sexiest hillbilly ever seen,Offensive
1591,colt mccoy wins still trash,Neither
1592,crying guy thanksgiving nah bitch pick head making turkey soggy thanks shanni pats turkey dri,Offensive
1593,good pussy making nigga regroup pull get thoughts togeth,Offensive
1594,ate oomf pussi,Offensive
1595,ion care none bitch,Offensive
1596,never seen many perfect bitches til made twitt,Offensive
1597,boss ass bitch bitch bitch bitch bitch bitch bitch,Offensive
1598,agreed eating pussy much better nasti,Offensive
1599,fuck dats bitch crush,Offensive
1600,want bitches big boooty bitch,Offensive
1601,trash,Neither
1602,like ghetto femal,Offensive
1603,jennifer hudson lose weight anybody fat ass ho,Offensive
1604,stop giving nigga pussy stop actin like care true tot,Offensive
1605,wanna go workout come back home lay bed jerk kill two birds one ston,Offensive
1606,orangutan tried sex actress julia robes sma monkey,Offensive
1607,ever met bitch fucked nigga pussy admit bitch bitch,Offensive
1608,ill find cute hoosier date next year,Neither
1609,made interview bitch finessed huh lol,Offensive
1610,love ho,Offensive
1611,fuck bad bitch id rather good girl freak tim,Offensive
1612,single af care ugly anyways pussi,Offensive
1613,love ho,Offensive
1614,try smash pussy stank,Offensive
1615,red sox scoreless play nd inning bambino watch,Neither
1616,alfredo aceves relieve th needs go away ga,Neither
1617,cavs trash heat trash smh pat gotta make trad,Neither
1618,bitch like lol sorry sorry tried give hint want speak idc,Offensive
1619,jarred shut faggot set,Offensive
1620,oreo ice cream cak,Neither
1621,got natural mean face havin mean mugs ion even knowin bitch shut fuck right,Offensive
1622,want bihday female large buttocks big booty ho,Offensive
1623,r sister shittin hos wodeh bout dat act,Offensive
1624,kane lmaooo find shit funny hoes content working one nigga bor,Offensive
1625,everslim u look like cotton picker tho  put field work damn dee got jok,Offensive
1626,wassup bye bitch outta ord,Offensive
1627,bitch lying messy yess,Offensive
1628,alyssa ignoring bitch better text back cause serious fuck u smokey,Offensive
1629,put sooooo much nut fucking mouth gts frfr bitch yu nasti,Offensive
1630,im winning bitch,Offensive
1631,boy told lyssa make yes bitch need em,Offensive
1632,hoes playing w like send baby cain niggah yesss messi,Offensive
1633,shoot nigga shoy bitch,Hate
1634,iz point jealous cuz dee hoes everybodi,Offensive
1635,oomf hoe hopp,Offensive
1636,things love weed pussy lif,Offensive
1637,oomf fake bitch ass nigga point blank period smh awwww shittttttt,Offensive
1638,lose sweet lose hide lmfao viri tryna smoke hoe self boy,Offensive
1639,blackmigo kyrie fast bitch ball look like lol lol wish,Offensive
1640,hahaha much thottie never fear captain save thot save ho,Offensive
1641,happy bihday little bitch bofl made laugh read,Offensive
1642,snap chat names please bitch snapchatt,Offensive
1643,hoes loy,Offensive
1644,x bitches yeah know probably pai,Offensive
1645,got giggles fag gon lie lol,Offensive
1646,sqquad bitch need lock yo ass sayin stupid shit lik,Offensive
1647,one likes n r e c ass bitch,Offensive
1648,lakers going trash season wait,Neither
1649,boyfriends eat yo pussy day long ur da real mvp,Offensive
1650,make salad vegetables bitch give break potato salad,Offensive
1651,im happy morning shave pussy cuteness always sets good day u need dick,Offensive
1652,laughing ex tryna stunt bitch forgot went know got amp got,Offensive
1653,wish tonight purge get hunting shut yo hoe ass,Offensive
1654,tell trying turn bayou classic bitch got id,Offensive
1655,lol got rose dat nicca tho never forget lol yee trippin,Offensive
1656,looking nip rings wait change mine lmao,Neither
1657,happy new year check yo clock hun got another hour lol lil count th,Neither
1658,bitch gotta work hard clean shit without ripping skin lmaosjdusubej,Offensive
1659,friends insensitive bitch,Offensive
1660,tryna get snow day dick gon make nicca wreck tryn pull ya,Offensive
1661,like tf bitch follow,Offensive
1662,cuz hoe lol cuz went lil rant man,Offensive
1663,hoe azz boi sniff sniff sorry sniff sniff,Offensive
1664,u mr bitches stop calling bal,Offensive
1665,ion eat cat bitch gay,Offensive
1666,sqquad iont got type bad bitches thing like ayeee throw ass spher,Offensive
1667,niggas hoes man swear,Offensive
1668,hoe mimi said hu hand bitch throat,Offensive
1669,dis hoe bri fuck wet dream pop dream lik,Offensive
1670,u hoe broski u gotta look dat shit,Offensive
1671,lil bitty bitch lingo,Offensive
1672,shawty wanna charge pussy like whoa turnt cash use fuck fre,Offensive
1673,victor amp shawn legs hu jigg every damn night,Offensive
1674,lol someone told hoes s,Offensive
1675,bitch im weakkk v,Offensive
1676,fuck girls peep change nigga squared bitch ass,Offensive
1677,nobody cares kirk bosley care bout cousin ho,Offensive
1678,men hop feelings much quicker women hop ya bitch,Offensive
1679,bitch bitch griiind thug luuuuuuv,Offensive
1680,phone charging backwards retard,Hate
1681,want pussi,Offensive
1682,fb hoe lol damn next time nicer lmfao,Offensive
1683,right  idk one selling pussy way high,Offensive
1684,ahhh know sma donny yes  yass glad speak mind faces ho,Offensive
1685,gave bitch bib since wanna act messi,Offensive
1686,im excited boosie getting valentines day get vday pussy allstar weeekend pussy mardi gra,Offensive
1687,like popeye spicy chicken bitches boa trippen,Offensive
1688,wonder oomf like want fuck would wrong one brave bitch one day,Offensive
1689,wonderful meet dude bitch ass nigga day,Offensive
1690,yeah lowkey loves knows nigga love ho,Offensive
1691,much niggas much ho,Offensive
1692,jordyn stays making fun eat like little bitch,Offensive
1693,go actually surprised hard  fly n crib listen nig g eazy diss homi,Offensive
1694,aint special niglet  fly chilling wit greg ppl walk ask take pics hatin,Hate
1695,gotta buy anti slip shoes hoes catch slip,Offensive
1696,really cool good basketball zebra lif,Neither
1697,grow bitch cut,Offensive
1698,scrappy always reunion hella hoes real nigga lmao,Offensive
1699,girlfriend hoe text yanno u r,Offensive
1700,really anyone talk things sta going wrong aight hoe ass nigga,Offensive
1701,sydneys favorite nigger lov,Offensive
1702,depressed got ho,Offensive
1703,still fucn ya ex na bitch corni,Offensive
1704,go take summer binging alll fly bitches bless atl thank,Offensive
1705,never get twitter get bitch fights niggas even females bruh,Offensive
1706,fuck top lip pussi,Offensive
1707,mane skinny bitches playin lol take weight class another level,Offensive
1708,lemme find niggaz letting bitches shit yo faces niggas weirdo,Hate
1709,cigarettes gross half bitches smoke cigarett,Offensive
1710,hate attempt make yellow light car infront stops light wanting fight,Neither
1711,like bitch,Offensive
1712,niggas talk bitches day,Offensive
1713,bitch know lmaooo,Offensive
1714,fuck texts movement lmaooo cous texting rubbed used bitch bout tho,Offensive
1715,need find damn job needs find bitch job right,Offensive
1716,dont fuck youuu u lil stupid ass bitch aint fuckin wit u lil dumbass bitch aint fuckin wit,Offensive
1717,kidding right smack ho,Offensive
1718,im sarcastic lil bitch loves sleep eat,Offensive
1719,hoes loyal would know cause hoe fans damn sure r,Offensive
1720,yeah really far alright like living whole lot hicks haha,Offensive
1721,im bitch ass elf,Offensive
1722,dont trust girls cant trust ho,Offensive
1723,well know victoria secret yea cocoa puff bird fuck,Offensive
1724,paint brushes bugattis bitch paint like one french girl,Offensive
1725,niggah friendzoned daaaaaaaam,Offensive
1726,jose fucking mean like damn bitch lol fuck,Offensive
1727,bitch im back hom,Offensive
1728,thats awesom,Neither
1729,happy hour time best time da day niggas know bout happy hour ho,Offensive
1730,favorite time da day happy hour bad bitches come ok hoes home mak,Offensive
1731,gwyneth paltrow ugly ass big bird looking bitch shut fuck lt lt pretty much face bravo,Offensive
1732,u love love ho,Offensive
1733,played great job retard,Offensive
1734,bitches popping babies like spo stop lol,Offensive
1735,finger bitch w trigger finger nigga shut,Offensive
1736,b dora amp table manners eating like sloppy ho,Offensive
1737,stop bitch,Offensive
1738,demolishing huge bitch car,Offensive
1739,think alex games sorry son bitch never win us gam,Offensive
1740,bitches late ion expos,Offensive
1741,feel sorry whoever using alyssa number play phone games dumb ass hoes got lif,Offensive
1742,bitch bitch sosfamand dfandomfollowpay preach,Offensive
1743,bitches set hoppin like bitch get life u get beat lmao,Offensive
1744,pussy wet gotta dry outside stop telling busi,Offensive
1745,whens homecoming ho slut th,Offensive
1746,asians sho beds feet hanging edge bed cuddle bitch right besid,Offensive
1747,fly u regular nig u played b lol ima b ig famous days counts somethin,Hate
1748,congrats kim k great day hoes everywher,Offensive
1749,lol maybe give nd date hoes dates let know work lol,Offensive
1750,imma pull eat pussy dip,Offensive
1751,get pussy without lying girl wack hate appreci,Offensive
1752,daughter makes hoe age u roll tonight,Offensive
1753,pussy prolly taste like heaven,Offensive
1754,every jawn tryna pussy cop feel donte peen,Offensive
1755,know idgaf woman lingerie matching love hairy pussy much,Offensive
1756,let hoes tear right apa,Offensive
1757,want baddest bitch world right lap aidualc,Offensive
1758,pineapples sale publix hoes sale stair,Offensive
1759,need ran theo theo homie rocking cool need free shit ho,Offensive
1760,stills get pussy jus rational fag,Offensive
1761,class right need headphones seventh period serious bitch ass ms trophenboum,Offensive
1762,aw omg show made cry pussy man r,Offensive
1763,brian stfu twitter could retweet anything make bitch slap,Offensive
1764,know u didnt hit jigga fav purse chil,Neither
1765,fucking slut foreal fuck dat bitch,Offensive
1766,might go plaq hc bitch gone go,Offensive
1767,faggot agre,Offensive
1768,heabroken tx inniz ho lmao haha naw chill one laughing vdawg,Offensive
1769,make tell bitch,Offensive
1770,yankees never someone wear single digit uniform season wow shows epic organ,Neither
1771,bitches stand like wanted mj smooth criminal video bad,Offensive
1772,matter nigga always tryna holla bitch,Offensive
1773,bitch gmfu huh huh lol,Offensive
1774,back hoes want hot,Offensive
1775,believe wiz khalifa one bald bitch getting divorc,Offensive
1776,sick trash talk cocky attitudes refs take control need,Neither
1777,twitpic selfie light colored ey,Neither
1778,single moms got proven pussy lol fckd truuu,Offensive
1779,hate chick say go deeper u already dishin u got,Offensive
1780,bitch wanna date flyest nigga shocked hoes lol,Offensive
1781,ladies dude put two hands pussy staed clapping lmaoo,Offensive
1782,u get u put u offering pussy mad u receive dick,Offensive
1783,things hoes say,Offensive
1784,thats fav pa take care whole album trash,Neither
1785,uglyppl one wants ugly nigga got stressing hoes lt li,Offensive
1786,yall paners crime bitch ride solo,Offensive
1787,u got hoes tho werd,Offensive
1788,see every tweet dis like da colored brady bunch,Neither
1789,need thank killing niggers reward dis pal gradu,Hate
1790,homo sorry straight like pull mad bitch,Offensive
1791,even lift pussi,Offensive
1792,half tempted go outside run phone car piece shit pussi,Offensive
1793,early put face pussy bul never early breakfast,Offensive
1794,doc pussy going anywher,Offensive
1795,want ears look like want bitches earrings lol,Offensive
1796,take people niggas bitches play niggas specially baby daddies b,Offensive
1797,used fat bitch everybody made fun look made fun ug,Offensive
1798,hoe,Offensive
1799,pussy pussy nasty ass nigga hope get aids bit harsh rethink stat,Offensive
1800,fuck bitch shut roll threw,Offensive
1801,saying studs fuck trannys let bitch strap muhfuckas childish lol,Offensive
1802,bitch fukkin wicha fuck nigga square fuck,Offensive
1803,knowing picture hoe head good knocked wind boy,Offensive
1804,noll nigga talm bout tt juice ion hoe em,Offensive
1805,eagles fans dont except fact mcoy trash year everybody figured spread offens,Neither
1806,thot bitches wanna wined amp dined like wife know earn,Offensive
1807,u hella gay u never quit subbing fag,Offensive
1808,haha bitch,Offensive
1809,think hoe pressed shit righttt many times asked ok,Offensive
1810,hoes hoe thang,Offensive
1811,new song diana well written well done boyzzzzzz bow bitch,Offensive
1812,big oleeeee middle finger bitch,Offensive
1813,people complain prices like bitch look like make rul,Offensive
1814,hate bitch amp fact oomf likes retweeettt x,Hate
1815,hoe lmfao smuts lmao,Offensive
1816,guys hoes days lmao fucking indirect cause put blast subbin,Offensive
1817,need get laid sike im celibate bitches lik,Offensive
1818,krock boot u hoe niggas girls take bc ho,Offensive
1819,rico bored bitch damn boy watch ho,Offensive
1820,rico full shyt full money ho,Offensive
1821,men biggest hoes lmao,Offensive
1822,one song blacc hollywood dislike except song nicki minaj triffling bitch suck,Offensive
1823,yea bitch dam,Offensive
1824,bitch comes right amp gets tooo comfoable never saw yo gut hate u,Offensive
1825,bitch ass nigga fuck lt hoes got mann,Hate
1826,swear emoji,Offensive
1827,bang trust wohy bitch,Offensive
1828,cute af bitch believe u jus getting pass trusting u wit needle someone head,Offensive
1829,lmaooo nooo hoe oh ok,Offensive
1830,name stefanie stefanie fuck u ho,Offensive
1831,bitch tried wrong one go hil,Offensive
1832,people ever twitter bitch get mother fuckin diari,Offensive
1833,ahpar could write book things hoes say way jos,Offensive
1834,bad optimism royals twins take rose ie colored glass,Neither
1835,driving insane fag,Offensive
1836,females get irritated fast fuck ho,Offensive
1837,bitch called yu back li,Offensive
1838,together yu gt job ho,Offensive
1839,rich let bitch get mad like niggas think,Offensive
1840,grown mature pretty amp etc goes window bitch play,Offensive
1841,kim kardashian looking good still look better called bad bitch,Offensive
1842,girl hoe twitt,Offensive
1843,beautiful female still find way fuck w ratchet hoes get,Offensive
1844,bcaer would love parkside spo girls dressed like kobe day everyday let see ho,Offensive
1845,guy said slept girls oh ok let puke know girl dudes slut whore ho,Offensive
1846,every bitch tell act like nigga whatever fuck mean,Offensive
1847,lol bitch responding lol cool imma get one jus trust,Offensive
1848,close dude master chan right bitch bow mast,Offensive
1849,got hella ho,Offensive
1850,nigga gets alot bitches gonna value like someone else would youre another one lol cut,Offensive
1851,luhv u tioo drunk bitch lol,Offensive
1852,going talk shit sister play pussy shit say face yo,Offensive
1853,one friend greet insult nigg,Hate
1854,go text ho,Offensive
1855,scale bitch liter,Offensive
1856,dude fucking legend bruh fuck right pussy lmao true legendfuck right pussi,Offensive
1857,seen pregnant bitches fight look like sumo wrestl,Offensive
1858,bihday yesssss obviously nobody cares bitch,Offensive
1859,ddchickk donny hoe sinc,Offensive
1860,trynna find bitch fat ass,Offensive
1861,lool agree  fucked show ever watched misfits wen simone wifed hoe saddest,Offensive
1862,dales saw ashton hardly anyone cared waiting harry wtf bitch ashton grill feel,Offensive
1863,hoes feel like photo didnt get enough favorit,Offensive
1864,see many mad hoes tl tht shit illegal tbh,Offensive
1865,shoy name masika surprised ho,Offensive
1866,wifey means pussy good right gotta go months bas,Offensive
1867,bro birds stay sex daily said look hand,Offensive
1868,tag friend sucks flappy bird,Neither
1869,used obamacare website definitely change password hahahahahah sad,Neither
1870,clothes dryer tryna dry clothes throw ho,Offensive
1871,oreo lmao nvm right bitch go drink warm milk go b,Offensive
1872,bitch said lie much bitch woh telling truth,Offensive
1873,ready another tat doeeee right ho,Offensive
1874,group chat bitches call yall undercover feds watching everybodi,Offensive
1875,smh gotta grow least know bitches want swear,Offensive
1876,ex hits miss bullshit lol bitch di,Offensive
1877,hoe gone jam watch throwing ass bitch fuck pai,Offensive
1878,yo mama confused u lol hoes got mann,Offensive
1879,hoes still known,Offensive
1880,fuck look like ho look like yes ya look lik,Offensive
1881,raided nicki wig closet summer bad gals wanna fun bitch nerve smh,Neither
1882,fall love bitch,Offensive
1883,yall niggas think hang around crib nothing bitch getting bread,Offensive
1884,kimberley story far scariest story ever heard pussi,Offensive
1885,fleek yo vocabulary faggot,Hate
1886,fake bitches want hug,Offensive
1887,shine hoes look baby daddi,Offensive
1888,really hate poly bitches man,Offensive
1889,got felony got bitch,Offensive
1890,bitch bitch ms bitch,Offensive
1891,female population needs stop bitch,Offensive
1892,ya niggas play fuck niggas play keeps bitches fuck wit,Offensive
1893,hung boys bathroom st dominic silly bitch,Offensive
1894,read receipts bitch bitchyest bitch ev,Offensive
1895,waynostra dat bird bitch heavy birdcage bitch byyyyyyrrrrrrrrrrrrr bitch,Offensive
1896,aye hoes sta coming forget put,Offensive
1897,herd hoes lol lmao hope shit schress,Offensive
1898,hoe association real thing y,Offensive
1899,like want love like rashad amp new new shit already got one lying ass hoes lmao,Offensive
1900,cant talk right got pussy tongu,Offensive
1901,single cuz hoes left good ones taken lmao lt female tl thats single sno bop,Offensive
1902,back cause wanna see boys lose trash so,Neither
1903,relationship idea girls trash love l,Offensive
1904,ananconda want none unless u clean shitty buns hun,Offensive
1905,shitty pussi,Offensive
1906,ur pussy smell like dumpster juice wow,Offensive
1907,mean niggaz shot ill give k u let nigga smell pussy smell like shit,Offensive
1908,k michelle pussy smell like shit,Offensive
1910,fruit modern yankees farm system joba nut,Neither
1911,fat chance ever catch drinking beer bitch,Offensive
1912,outside house bitch,Offensive
1913,lmfaooooo u bitch using shit,Offensive
1914,wtf bitch dasss come practic,Offensive
1915,never worried next bitch always worryin next meal tryna fuckin eat fuck talkin bout,Offensive
1916,damn always tweeting halfassed tweets meant say hoes still dont make sens,Offensive
1917,amp wealthy  aunt said handsome fuck hoes brok,Offensive
1918,tend sense bitches older sad,Offensive
1919,hoe wanna fight right,Offensive
1920,hoes tbh highest key,Offensive
1921,kissing bitch anytime soon,Offensive
1922,light weights pussi,Offensive
1923,got netflix watch fresh hoe live name chuck e chucki,Offensive
1924,essence fest anyone main stage stepping uncle charli,Neither
1925,u unfollowed dm u say rude cunt lmao dm,Hate
1926,talk girl paid sew show u atleast got type boss bitch lol wth,Offensive
1927,cute text ey bitch come pizza,Offensive
1928,one wants see curvy women karl lagerfeld retard,Offensive
1929,colts nation put yall money bitch chuassup,Offensive
1930,badly hahahah omg yall pussi,Offensive
1931,lol  yo bitch read books eat fruits ho,Offensive
1932,gga charlie strong texas back power better power big anybodi,Neither
1933,trap keep fly love ayyyyy got hoe forever huh,Offensive
1934,bitches getting mommy money nigga,Offensive
1935,god drake trash dawg thank ass wat,Offensive
1936,already school fuck hate hope trip stage graduation ho,Offensive
1937,want affection also want left alone see issue fag,Hate
1938,show lotta love sisters tho bitches predictable im troubl,Offensive
1939,niggas swear love honest bitch tho salty bm,Offensive
1940,nah lemme chill love bitches like trick love kids amp know,Offensive
1941,nasty pay bills bitch,Offensive
1942,told bitch stop texting phone shawty crazy glad know,Offensive
1943,bitch frozen ever let go,Offensive
1944,history test made bitch haha,Offensive
1945,punched nose accident shocked crap bitch hu,Offensive
1946,car hopping different world ghetto guys tried asking number lol ghetto tho,Neither
1947,tax fraud bet dare tweet voting bitch tweeting polit,Offensive
1948,jew lawyers doctors say nigga ran lol nope say shit like queer though,Offensive
1949,yall think ok faggots want us cool,Hate
1950,dudes try fuck ya bitch behind ya back tell aint good ya happend,Offensive
1951,east coast colored hair everywhere must sweetest wave ev,Neither
1952,b oreo stunt come thru,Neither
1953,one single bone body gives fuck next bitch think,Offensive
1954,think girlfriend get locked shed first one raped really bitch really swerv,Offensive
1955,dumb ass bitches next tim,Offensive
1956,people even get crushes im like total bitch,Offensive
1957,look benz bitch shit,Offensive
1958,cool story bitch pass blunt bitch,Offensive
1959,girl stress ion even hoes shit saying lol,Offensive
1960,feel sorry anyone paid lic edc trash mus,Neither
1961,queen latifah dyke id contemplate fucking rns wait,Offensive
1962,lol love little bitch,Offensive
1963,u want cig ur lovey gf go get guilt trip city lil bitch,Offensive
1964,mm traded nikes new mic guess safe say sold soles new life bada,Neither
1965,time amp place decaf coffee never amp trash humor via amp,Neither
1966,best asian massage brooklyn park slope top rated spa,Neither
1967,best asian massage brooklyn park slope top rated spa,Neither
1968,best asian massage brooklyn park slope top rated spa,Neither
1969,best asian massage brooklyn park slope top rated spa,Neither
1970,best asian massage brooklyn park slope top rated spa,Neither
1971,best asian massage park slope top rated spa,Neither
1972,best asian massage park slope top rated spa,Neither
1973,best asian massage park slope top rated spa,Neither
1974,best asian massage park slope top rated spa,Neither
1975,best asian massage park slope top rated spa,Neither
1976,best asian massage park slope top rated spa,Neither
1977,best asian massage park slope top rated spa,Neither
1978,best asian massage park slope top rated spa,Neither
1979,best asian massage park slope top rated spa,Neither
1980,best asian massage park slope top rated spa,Neither
1981,best asian massage park slope top rated spa,Neither
1982,best asian massage park slope top rated spa,Neither
1983,best asian massage park slope top rated spa,Neither
1984,best asian massage park slope top rated spa,Neither
1985,grand opening top class oriental massage perfect,Neither
1986,grand opening top class oriental massage perfect,Neither
1987,grand opening top class oriental massage perfect,Neither
1988,grand opening top class oriental massage perfect,Neither
1989,grand opening top class oriental massage perfect,Neither
1990,grand opening top class oriental massage perfect,Neither
1991,grand opening top class oriental massage perfect,Neither
1992,grand opening top class oriental massage perfect,Neither
1993,lie nigguh,Offensive
1994,bitch win,Offensive
1995,amp defiantly let bitch fw nigga already get best fuccin wit hand downs amp shit,Offensive
1996,amp keep bitch pa fashion nigga see see catch traff,Offensive
1997,amp bitches bound get hu cause lot niggas play,Offensive
1998,amp fuck bitch,Offensive
1999,amp ion bitch yeah understood need explain,Offensive
2000,amp sister really going fucken deny yet sprays room febreeze like really bitch going deni,Offensive
2001,amp bitch ask jeans sag cuz tryna hold bandz,Offensive
2002,amp thots wearing uggs  negros pulling timb,Neither
2003,amp amp ho,Offensive
2004,amp amp tha bitches sta hating wen bitch lost,Offensive
2005,amp amp hoes round opening legs like walma door,Offensive
2006,amp say mean dyke ron,Hate
2007,gt mfw rachet ass hoe drops scripture religious stuff social media,Offensive
2008,gt lt  metal monkey bal,Offensive
2009,lt lt lt lt lt lt bitches much twitt,Offensive
2010,lt lt lt yellow outsid,Neither
2011,lt nudes trash,Neither
2012,jokes aside goin thru niggah hea hu smh,Offensive
2013,hoes loy,Offensive
2014,know believe cause pussy mee fuck many niggahs fuck niggah,Offensive
2015,annnie say fuck niggah soo weak tell freak lookin lov,Offensive
2016,august alsina deserved niggah,Offensive
2017,baby moanin got zone nn want bitch next pussy like ecstasi,Offensive
2018,babyy moaaaanin got zone nn want bitch next pussy like ecstasi,Offensive
2019,beat pussy till red like rosters fuck get moovin like hoova,Offensive
2020,love stressful niggah,Offensive
2021,bitch caught body week ago fuck us get tweekin hoe run niggah get,Offensive
2022,broke tf outta niggah stopped playen defens,Offensive
2023,cause hoes loyal niggahs either go callin hitta,Offensive
2024,cause hoes loyal niggas either go callin hitt,Offensive
2025,club solo deep fuck valet cause parked street lordddd knows trust ho,Offensive
2026,ask feelings cause bitch got tf sad fucking feel,Offensive
2027,sleep niggah chood,Hate
2028,elza jones whipppppppen drifting last night lol tu niggah,Offensive
2029,enteain fliin ass niggah want gon yo niggah friendly ass,Offensive
2030,freshman year senior year really niggah staed brothers years ago today crazi,Offensive
2031,fuccccck niggah cali swag r p jayar,Offensive
2032,fuck right pussi,Offensive
2033,fucking first night make ho,Offensive
2034,get head twitter niggahs bracken ima baby momma killa yo bitch get,Offensive
2035,got niggahs salty meeeee cause yo dream bitch main slid,Offensive
2036,happppppy bihdayyyy lol niggahs really bitch,Hate
2037,happy bihday main niggah right minute dreams bein rich,Offensive
2038,hate female got mentality niggah,Offensive
2039,ever sex ina cherry red vet witha fat trap niggah keep pussy sooo wet,Offensive
2040,hoes mind fuck hoes tim,Offensive
2041,trippen cause like anyways got niggah got girl anyways yea anyway,Offensive
2042,trippen mo done dropped knocked owe could neva foo hoe put,Offensive
2043,like niggahs like yo bitch na check idc min,Offensive
2044,fw niggahs everyday neva changed always niggah thru shit niggah,Offensive
2045,guess niggah believe ya proof ya name lot things man wont ya,Offensive
2046,hate guesss tried talk mee ass bitch,Offensive
2047,feel like mouthpiece cold give lessons every niggah ever got turned low cost hmu,Offensive
2048,know know know streets fuck strong bitches gon fuck money,Offensive
2049,rather jack fuck hoes tbh shit boring give wif,Offensive
2050,really give fuck sta got hoes fuck bitches shit deleting yo,Offensive
2051,still got time bitch actin iffi,Offensive
2052,thinkkk shee knows maaaa otheeeeeeeer bitch,Offensive
2053,told niggah maya angelo died niggah gon ask red ninja tule wtf,Offensive
2054,took bitch set yo bitch get around set dicked bitch set yo,Offensive
2055,never date female another niggah name lol wtf,Offensive
2056,wonder females ever sit around think bout yall hoes unfaithful yall r,Offensive
2057,bring girl around nobody leo niggah know mess,Offensive
2058,hard kill countin cake finest bitch take makeup still look like finalist,Offensive
2059,gon ever niggah hit likes every picture get whoever want period,Offensive
2060,niggah show public babbbbbbyyyy lol,Offensive
2061,id rather sit house day jack bust mission literally chill bitch,Offensive
2062,idk niggah give female head throw condom lmaooo niggah already ate whole std,Offensive
2063,ever put trust ina bitch always hu,Offensive
2064,ever put trust ina bitch always hu,Offensive
2065,ugly ass niggah tf chuu baka anyways niggah look lik,Hate
2066,yo new niggah dress better even close looking better dnt try mak,Offensive
2067,get yo girl took mad niggah mad cause owe loyalti,Offensive
2068,ima kill pussy straight murder shit ima eat eat eat lick till slaps ay,Offensive
2069,ima pull eat pussy dip,Offensive
2070,ima real young niggah witha muhhfuckin attitude walk yo spot would think niggah mad,Offensive
2071,ima young rich niggah tryna fuck niggah bitch ex rat naybahoods fuckin bitch,Offensive
2072,indiana niggah tell muhhfuckin grammar swear got hoes like santa,Offensive
2073,jody niggah got boo pregnant niggah take respons,Offensive
2074,want nobody else texting inboxing kiking dming snapchatting emailing yo girl niggah,Offensive
2075,old lil proton feel bitches gon feel niggahs kil,Offensive
2076,lemme find answer call cause otp niggah,Offensive
2077,leo apolonio look niggah drive bik,Offensive
2078,looked ex profile struggling weak ass niggah god good,Offensive
2079,niggah alsina doin thang,Offensive
2080,make niggah buy ring ya finger jimmies ya feet jeans back lingeri,Offensive
2081,mann hoes get nothin dick instructions mee fucccccckn said,Offensive
2082,mannnnn wake bitch asses blood,Offensive
2083,charger got fucked finna wrap cord tf around phone bitch finna charge today cuhz,Offensive
2084,baby mama trippen bitch shoot,Offensive
2085,nah hoe niggah bitch niggah rich niggah shits niggah getchu chipped niggah,Offensive
2086,niggah said girl limits thirsty niggahs stay inbox bitch look like kunta kint,Offensive
2087,niggahs stay thinkin want girl nevvvvva niggah,Offensive
2088,feelins hoe main thang niggahs thang niggahs gangbang,Offensive
2089,g like stop controllin like bitch fuck thought like niggah fuck mean,Offensive
2090,ok texas bitch keep textin callin cryin stressin bout another bitch alleg,Offensive
2091,ok texas bitch keep textin callin cryin stressin askin another bitch alleg,Offensive
2092,twitter say ridin niggah really fuck pull trigg,Offensive
2093,r p deshawn know know darkskin niggah hood named deshawn getting shot tonight,Offensive
2094,ran good game royal niggah,Offensive
2095,said neva love bitcccccch bitches steady lovin ayeee,Offensive
2096,see gotta get money palms itchin niggahs gossip like hoes bitch,Offensive
2097,shawty wanna tell secrets rap niggah tell bitch attractive hold,Offensive
2098,drippen vanillaaaaa know pussy killaaaa,Offensive
2099,herd dope boy herd gold digger know real bitch fuck like real niggah,Offensive
2100,love talk crazy suck niggah dick whole lotta spit let drip yea catch,Offensive
2101,mad like mins got hit right back lol care niggah,Offensive
2102,somebody come look niggah right kevin ha voice lol,Offensive
